Instância, TCI, FOI, RPTI, RPDI, TCF, FOF, RPTF, RPDF, QVMFO, QT, QP
1,0.000138,13,4,9,6.544002,8,0,8,2,13,8
2,0.000083,6,4,2,5.425057,4,2,2,1,13,8
3,0.000080,15,13,2,6.344579,9,7,2,5,18,11
4,0.000093,17,13,4,8.412148,12,8,4,5,19,12
5,0.000092,18,16,2,7.415102,12,9,3,4,21,13
6,0.000136,30,24,6,12.811355,13,7,6,8,31,20
7,0.000152,31,26,5,13.585686,18,11,7,8,31,20
8,0.000178,38,29,9,16.749676,25,17,8,9,33,21
9,0.000153,35,30,5,14.342920,23,18,5,9,34,22
10,0.000234,44,35,9,25.387720,29,23,6,11,39,25
11,0.000196,48,42,6,21.149153,34,29,5,12,44,28
12,0.000234,54,42,12,23.036156,41,29,12,10,44,28
13,0.000215,51,45,6,22.866913,37,30,7,12,49,31
14,0.000216,55,49,6,27.272772,43,35,8,12,50,32
15,0.000283,54,46,8,28.831549,42,33,9,12,52,33
16,0.000304,68,59,9,34.229397,47,39,8,17,62,40
17,0.000309,66,59,7,35.241959,51,44,7,14,62,40
18,0.000264,62,58,4,33.078751,47,43,4,14,64,41
19,0.000308,66,60,6,34.818321,47,41,6,17,65,42
20,0.000308,75,68,7,37.668301,55,48,7,18,70,45
21,0.000452,83,71,12,46.770168,60,48,12,21,75,48
22,0.000437,81,70,11,47.421509,58,47,11,20,75,48
23,0.000431,83,74,9,50.663212,62,52,10,19,80,51
24,0.000402,86,77,9,55.526276,68,58,10,18,81,52
25,0.000381,83,77,6,51.045486,58,53,5,21,83,53
26,0.000518,103,91,12,66.462700,81,69,12,21,93,60
27,0.000607,113,91,22,71.236549,92,69,23,20,93,60
28,0.000487,106,93,13,60.175636,88,78,10,18,95,61
29,0.000565,106,93,13,64.637222,78,64,14,25,96,62
30,0.000521,104,96,8,67.630127,81,73,8,23,101,65
31,0.000623,122,104,18,71.650017,91,74,17,29,106,68
32,0.000941,130,104,26,84.113686,97,72,25,29,106,68
33,0.000711,123,108,15,78.141785,93,78,15,30,111,71
34,0.000673,116,105,11,80.986420,81,73,8,30,112,72
35,0.000622,123,112,11,80.231255,107,95,12,14,114,73
36,0.000940,144,121,23,98.755440,112,93,19,29,124,80
37,0.000835,139,121,18,90.802963,109,91,18,28,124,80
38,0.000719,133,124,9,91.690117,103,94,9,29,126,81
39,0.001031,147,126,21,110.578743,118,100,18,26,127,82
40,0.000951,148,131,17,105.764717,108,91,17,37,132,85
41,0.000973,151,135,16,106.542236,114,98,16,35,137,88
42,0.000772,146,135,11,98.908493,111,101,10,32,137,88
43,0.001015,157,138,19,118.778236,131,108,23,25,142,91
44,0.000900,151,140,11,116.705177,114,103,11,33,143,92
45,0.001140,169,141,28,125.995247,132,110,22,34,145,93
46,0.001187,173,153,20,159.477158,151,134,17,20,155,100
47,0.001100,166,153,13,151.102707,152,134,18,14,155,100
48,0.001061,168,151,17,134.919479,146,129,17,18,157,101
49,0.001063,174,156,18,147.294861,154,140,14,20,158,102
50,0.001194,179,159,20,154.839493,151,132,19,27,163,105
